year,Revenues,Netincome
2009Q1,394098,22363
2009Q2,408509,32443
2009Q3,423120,30141
2009Q4,444542,30913
2010Q1,493665,32272
2010Q2,519819,43519
2010Q3,553219,37967
2010Q4,595922,47095
2011Q1,718553,60233
2011Q2,788610,68214
2011Q3,821839,62460
2011Q4,875575,35219
2012Q1,869791,-4584
2012Q2,889163,6164
2012Q3,905089,7675
2012Q4,945239,7897
2013Q1,1023961,2689
2013Q2,1069372,29471
2013Q3,1105999,31822
2013Q4,1175230,48421
2014Q1,1270089,53115
2014Q2,1340407,71018
2014Q3,1409432,59295
2014Q4,1484728,83371
2015Q1,1573129,23696
2015Q2,1644694,26335
2015Q3,1738355,29432
2015Q4,1823333,43178
2016Q1,1957736,27658
2016Q2,2105204,40755
2016Q3,2290188,51517
2016Q4,2477541,66748
2017Q1,2636635,178222
2017Q2,2785464,65600
2017Q3,2984859,129590
2017Q4,3285755,185517
2018Q1,3700856,290124
2018Q2,3907270,384349
2018Q3,3999374,402835
2018Q4,4186841,133934
2019Q1,4520992,344052
2019Q2,4923116,270650
2019Q3,5244905,665244
2019Q4,5467434,586970
2020Q1,5767691,709067
2020Q2,6148286,720196
2020Q3,6435637,789976
2020Q4,6644442,542156
2021Q1,7163282,1706715
2021Q2,7341777,1353013
2021Q3,7483467,1449071
2021Q4,7709318,607429
2022Q1,7867767,1597447
