week,weekly_hours_viewed
2021-07-04,631670000
2021-07-11,619650000
2021-07-18,666770000
2021-07-25,579770000
2021-08-01,667960000
2021-08-08,647430000
2021-08-15,636620000
2021-08-22,522670000
2021-08-29,516800000
2021-09-05,707480000
2021-09-12,713870000
2021-09-19,773940000
2021-09-26,1104570000
2021-10-03,1269750000
2021-10-10,1166240000
2021-10-17,1052450000
2021-10-24,968290000
2021-10-31,819080000
2021-11-07,750420000
2021-11-14,752450000
2021-11-21,704870000
2021-11-28,766020000
2021-12-05,846550000
2021-12-12,752760000
2021-12-19,746150000
2021-12-26,904860000
2022-01-02,1028090000
2022-01-09,955500000
2022-01-16,733840000
2022-01-23,760950000
2022-01-30,845080000
2022-02-06,1036560000
2022-02-13,888260000
2022-02-20,851640000
2022-02-27,747970000
2022-03-06,821990000
2022-03-13,799770000
2022-03-20,700280000
2022-03-27,822850000
2022-04-03,745580000
2022-04-10,659330000
2022-04-17,639020000
2022-04-24,625910000
2022-05-01,680390000
2022-05-08,610530000
2022-05-15,638040000
2022-05-22,692230000
2022-05-29,913120000
2022-06-05,937270000
2022-06-12,838970000
2022-06-19,783910000
2022-06-26,808660000
2022-07-03,940120000
